Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
167,975106,210940,260,13739,4583661,0.2797,0.9344,0.922,0.8399,0.8366,0.2606,0.3336,4.0697,0.2646536,0.2714428,0.8799718,0.6885151,0.6268271,0.3125759,1.03233,Tepetzintla,15044,0.4473399
168,970413,184346,1600,11967,3122932,0.3988,0.9283,0.9238,0.861,0.906,0.5181,0.261,2.8591,0.4284931,0.1773164,0.9452552,0.5053418,0.9353884,0.3713166,0.83948,Tequila,13956,0.5013222
169,954213,180428,10,24365,10500000,0.3651,0.9082,0.9006,0.3971,0.5941,0.1475,0.4309,3.5709,0.3713532,0.3384567,0.8812534,0.1473764,0.5517533,0.2820588,1.23188,José Azueta,23132,0.4517689
170,982153,203502,1840,9040,922874,0.4317,0.8955,0.9014,0.9162,0.954,0.7979,0.1021,1.9374,0.4378348,0.7383943,0.9332694,0.2973999,0.9884437,0.3816404,0.81068,Texcatepec,9540,0.4270711
171,970220,183717,1960,4622,1116940,0.3801,0.9548,0.945,0.855,0.8901,0.5617,0.2417,3.0082,0.3725918,0.6491289,0.9270931,0.3270628,0.8525602,0.2479332,0.81186,Texhuacán,4625,0.4750511
172,944859,175339,40,19031,4246691,0.3782,0.9472,0.942,0.6772,0.6971,0.4143,0.2231,3.3164,0.2990671,0.3918032,0.8725873,0.3466523,0.763063,0.3303412,1.09029,Texistepec,22043,0.44012
173,964115,183613,220,51104,20200000,0.3999,0.8394,0.8293,0.7736,0.8542,0.4559,0.3953,3.1974,0.3650074,0.3735352,0.828491,0.2076104,0.8149443,0.3621534,1.14198,Tezonapa,53696,0.42939
174,962138,182652,60,89150,71900000,0.3096,0.6797,0.6714,0.3446,0.4753,0.0984,0.8065,4.5352,0.2757647,0.3878225,0.6717604,0.2066478,0.2455916,0.2131241,1.9529,Tierra Blanca,87535,0.4254455
175,973206,204254,100,80918,40900000,0.2897,0.8138,0.813,0.6145,0.8576,0.1711,0.5054,4.2973,0.2205472,0.6252936,0.8078305,0.3822302,0.8964714,0.2943095,1.37819,Tihuatlán,94118,0.4358136
176,955658,181354,10,4619,2703964,0.3741,0.606,0.5952,0.3676,0.5111,0.1464,0.5854,4.0442,0.3002845,0.2949829,0.770279,0.1998706,0.3936588,0.2970898,1.8378,Tlacojalpan,4491,0.4294685
177,970006,194000,1760,8885,7141400,0.3516,0.9048,0.903,0.6637,0.7246,0.2386,0.8038,3.157,0.3832591,0.2566267,0.9197415,0.3138113,0.5772006,0.2719992,0.87054,Tlacolulan,11266,0.4462987
178,953940,183642,10,14857,11700000,0.2572,0.7277,0.7202,0.2578,0.4399,0.0573,0.7875,4.1518,0.2991197,0.1906026,0.6757348,0.1416755,0.6204644,0.2880254,2.18291,Tlacotalpan,12268,0.4658276
179,965015,191114,900,3612,2234919,0.3671,0.9635,0.9585,0.5573,0.5473,0.1656,0.6187,3.7348,0.3038424,0.352378,0.9413158,0.1005331,0.3937541,0.2704552,1.01093,Tlacotepec de Mejía,4116,0.3862745
180,981157,203714,800,11063,4264933,0.3492,0.9766,0.9826,0.7943,0.9274,0.4765,0.3855,2.5033,0.386034,0.7368352,0.9362442,0.1994279,0.9083038,0.2866931,0.77151,Tlachichilco,10482,0.4256171
181,960337,184805,5,36554,18500000,0.3648,0.8541,0.8475,0.4589,0.7516,0.1314,0.5061,4.0526,0.3009989,0.5149319,0.8207893,0.1366311,0.306832,0.244355,1.64187,Tlalixcoyan,38311,0.4077788
182,965823,193358,1640,11459,5418262,0.3413,0.8643,0.8586,0.6597,0.5668,0.1613,0.4728,3.5403,0.2749546,0.5629137,0.8358743,0.3227579,0.3715085,0.1918393,1.67127,Tlalnelhuayocan,15599,0.4526643
183,971241,195743,430,51732,30300000,0.3387,0.875,0.8758,0.5214,0.2706,0.1385,0.5857,4.0571,0.3355059,0.4618482,0.8469609,0.361716,0.1190662,0.2056159,1.35592,Tlapacoyan,54132,0.4568412
184,970700,183637,2360,6253,2872095,0.3339,0.8769,0.8884,0.8884,0.9239,0.4737,0.4593,2.2109,0.474147,0.0834528,0.9766578,0.5216416,0.8225368,0.3686808,0.65787,Tlaquilpa,6008,0.4031974
185,970546,184820,1160,3955,1835746,0.3477,0.7886,0.7704,0.5944,0.7267,0.2963,0.4642,3.5249,0.3063383,0.2994495,0.8433946,0.3482515,0.5393842,0.2324308,1.4484,Tlilapan,5188,0.4444121
186,970038,190155,1360,6073,3912634,0.3224,0.7344,0.716,0.4461,0.3917,0.1079,0.6443,4.3553,0.3014851,0.709417,0.8170216,0.1118895,0.2014714,0.1510154,1.84183,Tomatlán,6578,0.4071204
187,965511,194057,1820,4825,1071187,0.4122,0.9836,0.9861,0.793,0.7977,0.2616,0.222,2.847,0.3803204,0.3991784,0.9685283,0.3325153,0.6298006,0.2961789,0.72605,Tonayán,5955,0.3829415
188,965734,191234,1320,14915,6989210,0.3904,0.9696,0.9676,0.5979,0.7183,0.1436,0.4686,2.9163,0.3618329,0.3868926,0.9436829,0.2550372,0.6154082,0.2836862,0.95775,Totutla,16714,0.3827778
189,972411,205732,10,125671,121000000,0.2174,0.5891,0.5826,0.4137,0.5867,0.1142,0.9628,5.5391,0.1980005,0.3134555,0.5755913,0.2029909,0.4373558,0.3346404,2.82821,Tuxpan,160906,0.4484526
190,955338,181412,10,2206,1193790,0.3386,0.3985,0.3894,0.2756,0.573,0.0394,0.5412,4.5848,0.3319459,0.1369568,0.575232,0.0631336,0.6603438,0.2368273,1.69012,Tuxtilla,2900,0.3919626
191,962143,192419,20,27606,26700000,0.2761,0.3442,0.3491,0.1178,0.1434,0.0137,0.9672,5.1748,0.238309,0.2923329,0.471481,0.0953093,0.08715,0.1717396,2.60946,Ursulo Galván,30677,0.4021102
192,963847,200136,10,18663,10200000,0.378,0.8513,0.8602,0.3997,0.4391,0.1707,0.5465,3.8788,0.300706,0.3431261,0.8355659,0.1647069,0.3327114,0.1735778,1.88459,Vega de Alatorre,19546,0.4396887
193,960816,191157,10,454829,670000000,0.1461,0.4148,0.3875,0.2254,0.1989,0.0344,1.4731,6.8877,0.1652858,0.2820259,0.4798449,0.1623597,0.1013959,0.2169178,4.29794,Veracruz,546089,0.4659519
194,971313,193859,2300,7963,10400000,0.3518,0.8753,0.8663,0.6283,0.5415,0.1295,1.306,3.352,0.3484314,0.325386,0.9201268,0.3627128,0.2680823,0.2701442,1.00753,Villa Aldama,12564,0.3952543
195,970910,183853,2120,4368,890719,0.2656,0.9089,0.9844,0.8858,0.807,0.6344,0.2039,2.4815,0.4131885,0.0470156,0.9730941,0.5781686,0.9931786,0.3829795,0.62645,Xoxocotla,4772,0.3870446
196,964802,184953,520,16345,14800000,0.3169,0.6913,0.6807,0.2738,0.4071,0.072,0.9055,4.3357,0.2826269,0.370451,0.7386236,0.1011327,0.3120269,0.1975146,1.825,Yanga,18987,0.419807
197,964632,195154,520,12488,5145751,0.3781,0.9552,0.9569,0.5755,0.654,0.1987,0.4121,3.3708,0.3751911,0.3423184,0.9001514,0.3236151,0.6449595,0.2587775,1.26706,Yecuatla,11251,0.4496508
198,982056,202554,1680,7008,1296160,0.5037,0.7834,0.7887,0.764,0.9225,0.5986,0.185,2.4565,0.452544,0.4649937,0.9237418,0.2585153,0.9158463,0.299873,0.74309,Zacualpan,7529,0.4174736
199,943831,175724,20,8943,3060151,0.4017,0.9216,0.9073,0.7524,0.7332,0.4838,0.3422,3.0636,0.3093126,0.3768893,0.8684264,0.4764044,0.553671,0.3664511,1.25965,Zaragoza,12700,0.3905307
200,965138,190654,940,12323,4769210,0.4361,0.8787,0.8706,0.4118,0.8754,0.0862,0.387,3.5917,0.3774665,0.4024525,0.9016962,0.1550549,0.6527447,0.230241,1.00451,Zentla,14316,0.375871
201,965955,183953,1210,39259,13100000,0.3728,0.9183,0.9167,0.8642,0.8614,0.6677,0.3337,2.9996,0.3859116,0.6923065,0.903941,0.3754089,0.8642385,0.2939782,0.93232,Zongolica,33648,0.5576734
202,982037,204542,500,12309,2167267,0.2342,0.9712,0.9714,0.9151,0.9653,0.736,0.1761,2.2277,0.4233968,0.1556717,0.946413,0.3938789,0.9708042,0.4845202,0.57319,Zontecomatlán de López y Fuentes,13350,0.4221618
203,973432,200823,280,12570,2243905,0.4029,0.9727,0.9593,0.8835,0.9589,0.684,0.1785,2.9969,0.3806771,0.3341063,0.9176725,0.4935255,0.8561442,0.3258743,0.77071,Zozocolco de Hidalgo,13887,0.4692835
204,940850,180813,20,43996,53800000,0.2089,0.5171,0.4969,0.2539,0.5204,0.1003,1.2228,5.5509,0.1985204,0.3012442,0.5807209,0.2049256,0.6983036,0.2216422,2.58485,Agua Dulce,42112,0.4649915
205,982712,214603,20,18433,12900000,0.3234,0.5205,0.5135,0.3008,0.6482,0.1145,0.6998,4.6917,0.2321468,0.3360796,0.6132325,0.1980924,0.5864628,0.2389763,1.77113,El Higo,22217,0.4264935
206,942431,180416,10,27166,37700000,0.1532,0.3142,0.291,0.2195,0.2728,0.0377,1.3878,6.0991,0.1505377,0.127432,0.3919465,0.1739196,0.2812907,0.2105315,3.44725,Nanchital de Lázaro Cárdenas del Río,30273,0.4113111
207,960806,181426,40,44167,38800000,0.308,0.4747,0.5123,0.3005,0.539,0.0668,0.8785,4.4282,0.3046147,0.418508,0.6716707,0.2220293,0.4868242,0.2410765,1.74084,Tres Valles,46135,0.4107927
208,954441,182226,5,22857,17900000,0.3337,0.3759,0.3651,0.1676,0.3195,0.0515,0.7831,4.7655,0.3126769,0.2076993,0.4864851,0.1141942,0.3595598,0.2607088,2.19711,Carlos A. Carrillo,28012,0.371326
209,944536,181442,120,12463,2484772,0.3661,0.9606,0.9528,0.8679,0.8616,0.4877,0.1994,2.7895,0.4140195,0.6859495,0.9219128,0.4782701,0.6645801,0.2660934,0.92271,Tatahuicapan de Juárez,13978,0.4544726
210,942702,171631,80,23394,5277253,0.3704,0.9673,0.962,0.6677,0.8484,0.4181,0.2256,3.0283,0.3555354,0.5263636,0.9571448,0.4034194,0.7072727,0.3187424,0.7942,Uxpanapa,28732,0.4131891
