Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
84,954943,182654,10,6049,3064705,0.3746,0.5821,0.5927,0.3282,0.5697,0.1375,0.5066,3.822,0.3800109,0.2298584,0.7169359,0.1197624,0.5789908,0.2926691,1.55756,Ixmatlahuacan,7084,0.3888448
85,970348,185101,1130,56841,37500000,0.2536,0.5487,0.5293,0.3221,0.3475,0.1207,0.6597,4.9452,0.2004715,0.335316,0.5635848,0.1421256,0.1180511,0.1653309,2.33035,Ixtaczoquitlán,60531,0.4167233
86,971828,194822,1880,33171,12400000,0.3724,0.8404,0.8193,0.7289,0.7757,0.1889,0.3738,3.2471,0.4115392,0.440472,0.9402372,0.3885839,0.5560221,0.2530045,0.91777,Jalacingo,43594,0.4097589
87,965539,193224,1460,389136,559000000,0.1442,0.5058,0.4768,0.21,0.1253,0.0352,1.4365,7.1106,0.1471833,0.3946674,0.5464646,0.0936725,0.0487678,0.2156709,3.98027,Xalapa,475955,0.462117
88,964542,191955,420,4405,1401670,0.4656,0.9081,0.9076,0.543,0.7907,0.1703,0.3182,3.3274,0.4037583,0.5258538,0.896371,0.1696663,0.3388215,0.2662695,1.24943,Jalcomulco,5531,0.4046206
89,944259,175750,60,37723,25200000,0.234,0.6922,0.6861,0.3471,0.489,0.1238,0.668,5.2006,0.2234433,0.5370414,0.6849859,0.1829778,0.7468459,0.2235817,2.13883,Jáltipan,37638,0.4336312
90,961424,190223,10,9945,5445631,0.3647,0.7547,0.7669,0.4758,0.5602,0.1492,0.5476,3.9272,0.2560381,0.4030633,0.6873332,0.1547073,0.7150657,0.2121182,2.00371,Jamapa,10675,0.4432824
91,950129,172554,20,25496,12500000,0.3459,0.7122,0.7632,0.4738,0.8841,0.1503,0.4903,3.5059,0.354798,0.4440827,0.9227684,0.2351965,0.472437,0.2719654,1.06784,Jesús Carranza,26518,0.3998347
92,970030,192517,1320,28733,17000000,0.3208,0.8113,0.7973,0.4548,0.3947,0.1532,0.5917,4.1271,0.3954583,0.3456812,0.8629131,0.283496,0.202858,0.2562516,1.69985,Xico,35223,0.4332735
93,965658,193641,1380,13011,7483643,0.2934,0.5431,0.5318,0.2928,0.2317,0.1029,0.5752,4.4681,0.2368788,0.5313507,0.7427483,0.1221079,0.37807,0.2118206,1.88201,Jilotepec,16089,0.3732362
94,952412,175931,130,33409,18100000,0.3809,0.9082,0.9035,0.3982,0.526,0.1094,0.5418,3.6244,0.3379637,0.506024,0.9175866,0.1512765,0.4703217,0.2674739,1.29595,Juan Rodríguez Clara,36933,0.4252092
95,964144,195022,380,18936,8236402,0.3284,0.9376,0.9377,0.6363,0.4594,0.2036,0.435,3.4987,0.3695905,0.5069196,0.8977345,0.3141568,0.4212104,0.2025033,1.01569,Juchique de Ferrer,14599,0.4350336
